minute,tweets
2239,5
2241,2
2242,7
2243,11
2244,7
2245,4
2246,4
2247,6
2248,3
2249,3
2250,3
2251,4
2252,1
2253,1
2254,3
2255,2
2256,5
2257,6
2258,2
2259,3
2300,3
2301,4
2302,5
2303,2
2305,4
2306,4
2307,4
2308,4
2309,4
2310,7
2311,6
2312,2
2313,5
2314,2
2315,8
2316,3
2317,2
2318,1
2320,2
2323,3
2324,1
2325,1
2326,1
2327,3
2328,9
2329,10
2330,9
2331,3
2332,4
2333,21
2334,19
2335,8
2336,9
2337,10
2338,5
2339,3
2340,5
2341,7
2342,6
2343,5
2344,3
2345,5
2346,6
2347,2
2348,5
2349,3
2350,1
2351,1
2352,1
2353,3
2354,2
2355,1
2357,2
2359,1
